,Playoff Year,Playoff Series,Result,Team,Year,American League Pennant,National League Pennant,Postseason,Games Played,Wins,World Series Champions,April Win Pct
171,1999,NLDS2,Won,New York Mets,1999,0.0,0.0,1.0,23,14.0,0.0,0.6086956521739131
172,1998,World Series,Won,New York Yankees,1998,1.0,0.0,1.0,23,17.0,1.0,0.7391304347826086
173,1998,ALCS,Won,New York Yankees,1998,1.0,0.0,1.0,23,17.0,1.0,0.7391304347826086
174,1998,NLCS,Won,San Diego Padres,1998,0.0,1.0,1.0,25,18.0,0.0,0.72
175,1998,ALDS1,Won,Cleveland Indians,1998,0.0,0.0,1.0,25,13.0,0.0,0.52
176,1998,ALDS2,Won,New York Yankees,1998,1.0,0.0,1.0,23,17.0,1.0,0.7391304347826086
177,1998,NLDS1,Won,Atlanta Braves,1998,0.0,0.0,1.0,26,17.0,0.0,0.6538461538461539
178,1998,NLDS2,Won,San Diego Padres,1998,0.0,1.0,1.0,25,18.0,0.0,0.72
179,1997,World Series,Won,Florida Marlins,1997,0.0,1.0,1.0,25,15.0,1.0,0.6
180,1997,ALCS,Won,Cleveland Indians,1997,1.0,0.0,1.0,25,12.0,0.0,0.48
181,1997,NLCS,Won,Florida Marlins,1997,0.0,1.0,1.0,25,15.0,1.0,0.6
182,1997,ALDS1,Won,Cleveland Indians,1997,1.0,0.0,1.0,25,12.0,0.0,0.48
183,1997,ALDS2,Won,Baltimore Orioles,1997,0.0,0.0,1.0,23,16.0,0.0,0.6956521739130435
184,1997,NLDS1,Won,Florida Marlins,1997,0.0,1.0,1.0,25,15.0,1.0,0.6
185,1997,NLDS2,Won,Atlanta Braves,1997,0.0,0.0,1.0,25,19.0,0.0,0.76
186,1996,World Series,Won,New York Yankees,1996,1.0,0.0,1.0,23,13.0,1.0,0.5652173913043478
187,1996,ALCS,Won,New York Yankees,1996,1.0,0.0,1.0,23,13.0,1.0,0.5652173913043478
188,1996,NLCS,Won,Atlanta Braves,1996,0.0,1.0,1.0,27,16.0,0.0,0.5925925925925926
